,cauliflower,chili,large_cardamom,maize,mung_bean,onion,kidney_bean,rice,sesame,strawberry,Citrus
cauliflower,0.0,0.36658354114713215,0.5223325062034739,0.19982509838216003,0.16108247422680413,0.5348837209302325,0.4740990990990991,0.23478260869565218,0.5668202764976958,0.533011272141707,0.4483333333333333
chili,0.2819332566168009,0.0,0.456575682382134,0.08919982509838216,0.4329896907216495,0.46511627906976744,0.39414414414414417,0.1246376811594203,0.21658986175115208,0.573268921095008,0.1
large_cardamom,0.20828538550057538,0.26184538653366585,0.0,0.11980760822037603,0.5219072164948454,0.4069767441860465,0.40540540540540543,0.20676328502415459,0.41705069124423966,0.7294685990338164,0.705
maize,0.2600690448791715,0.3117206982543641,0.5210918114143921,0.0,0.30927835051546393,0.5193798449612403,0.3918918918918919,0.11497584541062802,0.3456221198156682,0.5201288244766505,0.715
mung_bean,0.24856156501726123,0.39900249376558605,0.4032258064516129,0.3655443812855269,0.0,0.46124031007751937,0.6452702702702703,0.11980676328502415,0.1152073732718894,0.4830917874396135,0.09666666666666666
onion,0.34637514384349827,0.2817955112219451,0.38089330024813894,0.11456055968517709,0.40335051546391754,0.0,0.3963963963963964,0.3120772946859903,0.17972350230414746,0.605475040257649,0.66
kidney_bean,0.2566168009205984,0.26184538653366585,0.47766749379652607,0.15784871010056842,0.8389175257731959,0.46511627906976744,0.0,0.07632850241545894,0.38018433179723504,0.4830917874396135,0.17
rice,0.3716915995397008,0.3192019950124688,0.48635235732009924,0.15260166156536947,0.16108247422680413,0.5658914728682171,0.536036036036036,0.0,0.3778801843317972,0.5555555555555556,0.7133333333333334
sesame,0.33601841196777904,0.26683291770573564,0.5223325062034739,0.4355050284215129,0.28737113402061853,0.5348837209302325,0.3952702702702703,0.30434782608695654,0.0,0.6392914653784219,0.20333333333333334
strawberry,0.16455696202531644,0.3491271820448878,0.6724565756823822,0.10581547879317883,0.8260309278350515,0.5813953488372093,0.5416666666666666,0.12753623188405797,0.03917050691244239,0.0,0.7216666666666667
Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
