,cauliflower,chili,large_cardamom,maize,mung_bean,onion,kidney_bean,rice,sesame,strawberry,Citrus,,,,,,,,,,,,,,,,
cauliflower,0,0.246882793,0.522332506,0.117621338,0.480670103,0.476744186,0.400900901,0.2647343,0.566820276,0.550724638,0.136666667,,,,,,,,,,,,,,,,
chili,0.375143843,0,0.662531017,0.174901618,0.417525773,0.418604651,0.411036036,0.173913043,0.092165899,0.483091787,0.1,,,,,,,,,,,,,,,,
large_cardamom,0.234752589,0.401496259,0,0.263664189,0.837628866,0.465116279,0.608108108,0.190338164,0.380184332,0.483091787,0.096666667,,,,,,,,,,,,,,,,
maize,0.242807825,0.401496259,0.490074442,0,0.725515464,0.496124031,0.627252252,0.114975845,0.142857143,0.483091787,0.786666667,,,,,,,,,,,,,,,,
mung_bean,0.13118527,0.401496259,0.403225806,0.379099257,0,0.46124031,0.64527027,0.238647343,0.398617512,0.483091787,0.173333333,,,,,,,,,,,,,,,,
onion,0.349827388,0.391521197,0.3808933,0.219064276,0.403350515,0,0.396396396,0.122705314,0.105990783,0.60547504,0.095,,,,,,,,,,,,,,,,
kidney_bean,0.242807825,0.336658354,0.487593052,0.078268474,0.838917526,0.465116279,0,0.219323671,0.417050691,0.483091787,0.73,,,,,,,,,,,,,,,,
rice,0.121979287,0.296758105,0.477667494,0.152601662,0.831185567,0.457364341,0.494369369,0,0.33640553,0.47826087,0.251666667,,,,,,,,,,,,,,,,
sesame,0.336018412,0.341645885,0.399503722,0.107127241,0.261597938,0.46124031,0.685810811,0.154589372,0,0.581320451,0.241666667,,,,,,,,,,,,,,,,
strawberry,0.156501726,0.461346633,0.672456576,0.19676432,0.826030928,0.581395349,0.541666667,0.208695652,0.080645161,0,0.735,,,,,,,,,,,,,,,,
Citrus,0.043728423,0.326683292,0.488833747,0.145168343,0.68685567,0.457364341,0.744369369,0.298550725,0.394009217,0.342995169,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FID,,,,,,,,,,,,,,,,,,,,,,
Source \ Target,cauliflower,Citrus,large_cardamom,mung_bean,rice,strawberry,chili,kidney_bean,maize,onion,sesame,,,,,Source \ Target,cauliflower,Citrus,large_cardamom,mung_bean,rice,strawberry,chili,kidney_bean,maize,onion,sesame
cauliflower,—,261.91,266.07,214.3,321.35,198.02,251.98,246.13,250.19,291.79,225.74,,,,,cauliflower,—,261.91,266.07,214.3,321.35,198.02,251.98,246.13,250.19,291.79,225.74
Citrus,261.91,—,209.62,169.68,333.23,164.22,227.3,184.43,283.79,305.21,216.43,,,,,Citrus,261.91,—,209.62,169.68,333.23,164.22,227.3,184.43,283.79,305.21,216.43
large_cardamom,266.07,209.62,—,224.54,249.44,214.54,245.07,269.01,180.5,246.56,221.09,,,,,large_cardamom,266.07,209.62,—,224.54,249.44,214.54,245.07,269.01,180.5,246.56,221.09
mung_bean,214.3,169.68,224.54,—,337.37,117.65,239.56,110.1,283.09,312.55,157.63,,,,,mung_bean,214.3,169.68,224.54,—,337.37,117.65,239.56,110.1,283.09,312.55,157.63
rice,321.35,333.23,249.44,337.37,—,276.01,303.09,363.8,215.08,181.09,246.67,,,,,rice,321.35,333.23,249.44,337.37,—,276.01,303.09,363.8,215.08,181.09,246.67
strawberry,198.02,164.22,214.54,117.65,276.01,—,219.17,143.47,266.8,268.5,140.07,,,,,strawberry,198.02,164.22,214.54,117.65,276.01,—,219.17,143.47,266.8,268.5,140.07
chili,251.98,227.3,245.07,239.56,303.09,219.17,—,263.86,243.67,251.29,237.85,,,,,chili,251.98,227.3,245.07,239.56,303.09,219.17,—,263.86,243.67,251.29,237.85
kidney_bean,246.13,184.43,269.01,110.1,363.8,143.47,263.86,—,332.09,338.51,169.15,,,,,kidney_bean,246.13,184.43,269.01,110.1,363.8,143.47,263.86,—,332.09,338.51,169.15
maize,250.19,283.79,180.5,283.09,215.08,266.8,243.67,332.09,—,219.45,247.86,,,,,maize,250.19,283.79,180.5,283.09,215.08,266.8,243.67,332.09,—,219.45,247.86
onion,291.79,305.21,246.56,312.55,181.09,268.5,251.29,338.51,219.45,—,247.96,,,,,onion,291.79,305.21,246.56,312.55,181.09,268.5,251.29,338.51,219.45,—,247.96
sesame,225.74,216.43,221.09,157.63,246.67,140.07,237.85,169.15,247.86,247.96,—,,,,,sesame,225.74,216.43,221.09,157.63,246.67,140.07,237.85,169.15,247.86,247.96,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SUMMARY Average FID (over 110 cross-crop pairs): 240.10 Min FID: 110.10 Max FID: 363.80 (Lower FID = better feature distribution alignment),,,,,,,,,,,,,,,,,,
